fecha_hora,id_tarjeta,operacion,monto,saldo_restante,firma_auditoria
2026-05-18 21:44:35,REG-001,DEBITO,10.00,40.00,A3F589AC3C7982E3
2026-05-18 21:44:35,BUAP-002,DEBITO,5.00,45.00,DA1F0785882195DC
2026-05-18 21:44:35,TEC-003,DEBITO,5.00,45.00,808B1DB847A9F655
2026-05-18 21:44:35,REG-001,RECARGA,100.00,150.00,41C29F03FAABCD7F
2026-05-18 21:48:15,BUAP-9901,DEBITO,5.00,145.00,661615FE0DBB1E35
2026-05-18 21:48:15,REG-001,DEBITO,10.00,40.00,681A92E2E33CBB6B
2026-05-18 21:48:15,BUAP-002,DEBITO,5.00,45.00,95A1577BEFA651D3
2026-05-18 21:48:15,TEC-003,DEBITO,5.00,45.00,BF1CAEBBF0AC7BD5
2026-05-18 21:48:15,REG-001,RECARGA,100.00,150.00,18E2DFD44B4CC785
2026-05-18 21:49:52,BUAP-9901,DEBITO,5.00,145.00,D2077ABE928B23A8
2026-05-18 21:49:52,REG-001,DEBITO,10.00,40.00,926E9187C8E3BBEC
2026-05-18 21:49:52,BUAP-002,DEBITO,5.00,45.00,700615D05A71BB6B
2026-05-18 21:49:52,TEC-003,DEBITO,5.00,45.00,8517D7D211FCC2C9
2026-05-18 21:49:52,REG-001,RECARGA,100.00,150.00,C32B7212E18AF264
2026-05-18 21:54:45,BUAP-9901,DEBITO,5.00,145.00,09EF710CB9E087D1
2026-05-18 21:54:45,REG-001,DEBITO,10.00,40.00,77CDAF0DE69CE662
2026-05-18 21:54:45,BUAP-002,DEBITO,5.00,45.00,E608CEF2E61D46D2
2026-05-18 21:54:45,TEC-003,DEBITO,5.00,45.00,D5B45B2FFEF3E9CC
2026-05-18 21:54:45,REG-001,RECARGA,100.00,150.00,10DBF8D88C5A8E9B
2026-05-18 21:55:54,BUAP-9901,RECARGA,100.00,260.00,BE11FDA3C7B507AB
2026-05-18 22:04:01,BUAP-9901,DEBITO,5.00,145.00,A840E09FBE74FE74
2026-05-18 22:04:01,REG-001,DEBITO,10.00,40.00,45BB7D4BB34A37CA
2026-05-18 22:04:01,BUAP-002,DEBITO,5.00,45.00,31DEE8DBE5419891
2026-05-18 22:04:01,TEC-003,DEBITO,5.00,45.00,E022115B3825BB1A
2026-05-18 22:04:01,REG-001,RECARGA,100.00,150.00,7E831E60784A107D
2026-05-18 22:06:08,BUAP-9901,DEBITO,5.00,145.00,B9C46FF753810815
2026-05-18 22:06:08,REG-001,DEBITO,10.00,40.00,6D9F9A7AB8C9195D
2026-05-18 22:06:08,BUAP-002,DEBITO,5.00,45.00,B47C3FA8131CD2D6
2026-05-18 22:06:08,TEC-003,DEBITO,5.00,45.00,632C20D92D49EB05
2026-05-18 22:06:08,REG-001,RECARGA,100.00,150.00,28864CC7AD80D3F3
2026-05-18 22:06:19,BUAP-9901,DEBITO,5.00,145.00,11470DE78A15E9FE
2026-05-18 22:06:19,REG-001,DEBITO,10.00,40.00,39264D86B281481A
2026-05-18 22:06:19,BUAP-002,DEBITO,5.00,45.00,998DB5EA5CD5480C
2026-05-18 22:06:19,TEC-003,DEBITO,5.00,45.00,D7F27DF193DF0CF6
2026-05-18 22:06:19,REG-001,RECARGA,100.00,150.00,9BD5C1C0FB038FAB
2026-05-18 22:15:22,BUAP-9901,DEBITO,5.00,145.00,35413A70D854B234
2026-05-18 22:15:22,REG-001,DEBITO,10.00,40.00,9F7962EE5E8420E4
2026-05-18 22:15:22,BUAP-002,DEBITO,5.00,45.00,3F62960F8D38E0EF
2026-05-18 22:15:22,TEC-003,DEBITO,5.00,45.00,2E06DA5EBE571A6E
2026-05-18 22:15:22,REG-001,RECARGA,100.00,150.00,828A0B6CC952E359
